_background	Graphs	xdot	<none>		Строка в xdotформате, задающая произвольный фон.	A string in the xdot format specifying an arbitrary background.		_background	Графы	xdot	<none>	
rankdir	Graphs	rankdir	TB		Задает направление макета графика. Только точка .	Sets direction of graph layout. dot only.		rankdir	Графы	rankdir	TB	
ranksep	Graphs	double, doubleList	"0.5 (dot)
1.0 (twopi)"	0.02	Указывает разделение между рангами. Только точка , двапи .	Specifies separation between ranks. dot, twopi only.		ranksep	Графы	двойной , двойнойСписок	"0.5(точка)
1.0(двапи)"	0.02
ratio	Graphs	double, string			Устанавливает соотношение сторон (высота рисунка/ширина рисунка) для рисунка.	Sets the aspect ratio (drawing height/drawing width) for the drawing.		ratio	Графы	двойной , струнный		
rects	Nodes	rect			Прямоугольники для полей записей, в точках . Только запись.	Rectangles for fields of records, in points. write only.		rects	Узлы	прям		
regular	Nodes	bool	false		Если true, сделать многоугольник правильным.	If true, force polygon to be regular..		regular	Узлы	бул	false	
remincross	Graphs	bool	true		Если кластеров несколько, следует ли запускать минимизацию пересечения ребер второй раз... только точка .	If there are multiple clusters, whether to run edge crossing minimization a second time.. dot only.		remincross	Графы	бул	true	
repulsiveforce	Graphs	double	1.0	0.0	Мощность отталкивающей силы, используемой в расширенном методе Фрухтермана-Рейнгольда. Только sfdp .	The power of the repulsive force used in an extended Fruchterman-Reingold. sfdp only.		repulsiveforce	Графы	двойной	1.0	0.0
resolution	Graphs	double	96.0	0.0	Синоним для dpi.. растрового вывода, только svg .	Synonym for dpi.. bitmap output, svg only.		resolution	Графы	двойной	96.0	0.0
root	Graphs, Nodes	string, bool	"<none> (graphs)
false (nodes)"		Указывает узлы, которые будут использоваться в качестве центра макета. только twopi , circo .	Specifies nodes to be used as the center of the layout. twopi, circo only.		root	Графы, Узлы	строка , логический	"<none>(Графы)
false(узлы)"	
rotate	Graphs	int	0		Если rotate=90, то ориентация чертежа устанавливается на альбомную.	If rotate=90, sets drawing orientation to landscape.		rotate	Графы	инт	0	
rotation	Graphs	double	0		Поворачивает окончательный макет против часовой стрелки на указанное число градусов. Только sfdp .	Rotates the final layout counter-clockwise by the specified number of degrees. sfdp only.		rotation	Графы	двойной	0	
samehead	Edges	string	""""""		Ребра с одинаковой головкой и одинаковым sameheadзначением направлены в одну и ту же точку на головке. Только точка .	Edges with the same head and the same samehead value are aimed at the same point on the head. dot only.		samehead	Края	нить	""""""	
sametail	Edges	string	""""""		Ребра с одинаковым хвостом и одинаковым sametailзначением направлены в одну и ту же точку на хвосте, то есть только в точку .	Edges with the same tail and the same sametail value are aimed at the same point on the tail.. dot only.		sametail	Края	нить	""""""	
samplepoints	Nodes	int	"8 (output)
20 (overlap and image maps)"		Указывает количество точек, используемых для узла круга/эллипса.	Gives the number of points used for a circle/ellipse node.		samplepoints	Узлы	инт	"8(выход)
20(карты перекрытий и изображений)"	
scale	Graphs	double, point			Масштабирует макет с указанным коэффициентом после исходного макета. Только neato , twopi .	Scales layout by the given factor after the initial layout. neato, twopi only.		scale	Графы	двойной , точка		
searchsize	Graphs	int	30		В симплексном сетевом алгоритме максимальное количество ребер с отрицательными значениями отсечения для поиска при поиске ребра с минимальным значением отсечения. Только точка .	During network simplex, the maximum number of edges with negative cut values to search when looking for an edge with minimum cut value.. dot only.		searchsize	Графы	инт	30	
sep	Graphs	addDouble, addPoint	4		Отступ, оставляемый вокруг узлов при удалении перекрытия узлов. Только fdp , neato , sfdp , osage, circo , twopi .	Margin to leave around nodes when removing node overlap. fdp, neato, sfdp, osage, circo, twopi only.		sep	Графы	addDouble , addPoint	4	
shape	Nodes	shape	ellipse		Задает форму узла.	Sets the shape of a node.		shape	Узлы	форма	ellipse	
shapefile	Nodes	string	""""""		Файл, содержащий содержимое узла, предоставленное пользователем.	A file containing user-supplied node content.		shapefile	Узлы	нить	""""""	
showboxes	Edges, Nodes, Graphs	int	0	0	Распечатать направляющие рамки для отладки. только точка .	Print guide boxes for debugging. dot only.		showboxes	Ребра, узлы, графы	инт	0	0
sides	Nodes	int	4	0	Число сторон при shape=polygon.	Number of sides when shape=polygon.		sides	Узлы	инт	4	0
size	Graphs	double, point			Максимальная ширина и высота чертежа в дюймах.	Maximum width and height of drawing, in inches.		size	Графы	двойной , точка		
skew	Nodes	double	0.0	-100.0	Фактор перекоса для shape=polygon.	Skew factor for shape=polygon.		skew	Узлы	двойной	0.0	-100.0
smoothing	Graphs	smoothType	"""none"""		Указывает шаг постобработки, используемый для сглаживания неравномерного распределения узлов. Только sfdp .	Specifies a post-processing step used to smooth out an uneven distribution of nodes.. sfdp only.		smoothing	Графы	SmoothType	"""none"""	
sortv	Graphs, Clusters, Nodes	int	0	0	Порядок сортировки компонентов графа для упорядочивания packmodeупаковки.	Sort order of graph components for ordering packmode packing..		sortv	Графы, Кластеры, Узлы	инт	0	0
splines	Graphs	bool, string			Управляет тем, как и когда отображаются ребра.	Controls how, and if, edges are represented.		splines	Графы	бул , строка		
start	Graphs	startType	""""""		Параметр, используемый для определения начальной компоновки узлов. Только для neato , fdp , sfdp .	Parameter used to determine the initial layout of nodes. neato, fdp, sfdp only.		start	Графы	тип начала	""""""	
style	Edges, Nodes, Clusters, Graphs	style	""""""		Задайте информацию о стиле для компонентов графика.	Set style information for components of the graph.		style	Ребра, узлы, кластеры, графы	стиль	""""""	
